app,policy_area,metric,period,value
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2018Q3,"3,100,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2018Q4,"4,900,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2019Q1,"8,200,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2019Q2,"5,900,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2019Q3,"5,200,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2019Q4,"7,600,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2020Q1,"6,300,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2020Q2,"8,600,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2020Q3,"9,600,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2020Q4,"8,600,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2021Q1,"9,000,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2021Q2,"7,100,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2021Q3,"10,600,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2021Q4,"7,700,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2022Q1,"16,100,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2022Q2,"13,500,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2022Q3,"16,700,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2022Q4,"9,900,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2023Q1,"14,500,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2023Q2,"13,600,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2023Q3,"8,200,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2023Q4,"13,900,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2024Q1,"8,400,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2024Q2,"7,500,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2024Q3,"14,900,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2024Q4,"10,500,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2025Q1,"7,500,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2025Q2,"5,200,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2025Q3,"4,800,000"
Facebook,Dangerous Organizations: Terrorism,Content Actioned,2025Q4,"5,900,000"
Facebook,Fake Accounts,Content Actioned,2017Q4,"694,000,000"
Facebook,Fake Accounts,Content Actioned,2018Q1,"583,000,000"
Facebook,Fake Accounts,Content Actioned,2018Q2,"800,300,000"
Facebook,Fake Accounts,Content Actioned,2018Q3,"754,000,000"
Facebook,Fake Accounts,Content Actioned,2018Q4,"1,200,000,000"
Facebook,Fake Accounts,Content Actioned,2019Q1,"2,200,000,000"
Facebook,Fake Accounts,Content Actioned,2019Q2,"1,500,000,000"
Facebook,Fake Accounts,Content Actioned,2019Q3,"1,700,000,000"
Facebook,Fake Accounts,Content Actioned,2019Q4,"1,100,000,000"
Facebook,Fake Accounts,Content Actioned,2020Q1,"1,700,000,000"
Facebook,Fake Accounts,Content Actioned,2020Q2,"1,500,000,000"
Facebook,Fake Accounts,Content Actioned,2020Q3,"1,300,000,000"
Facebook,Fake Accounts,Content Actioned,2020Q4,"1,300,000,000"
Facebook,Fake Accounts,Content Actioned,2021Q1,"1,300,000,000"
Facebook,Fake Accounts,Content Actioned,2021Q2,"1,700,000,000"
Facebook,Fake Accounts,Content Actioned,2021Q3,"1,800,000,000"
Facebook,Fake Accounts,Content Actioned,2021Q4,"1,700,000,000"
Facebook,Fake Accounts,Content Actioned,2022Q1,"1,600,000,000"
Facebook,Fake Accounts,Content Actioned,2022Q2,"1,400,000,000"
Facebook,Fake Accounts,Content Actioned,2022Q3,"1,500,000,000"
Facebook,Fake Accounts,Content Actioned,2022Q4,"1,300,000,000"
Facebook,Fake Accounts,Content Actioned,2023Q1,"426,000,000"
Facebook,Fake Accounts,Content Actioned,2023Q2,"675,900,000"
Facebook,Fake Accounts,Content Actioned,2023Q3,"827,400,000"
Facebook,Fake Accounts,Content Actioned,2023Q4,"691,400,000"
Facebook,Fake Accounts,Content Actioned,2024Q1,"630,900,000"
Facebook,Fake Accounts,Content Actioned,2024Q2,"1,200,000,000"
Facebook,Fake Accounts,Content Actioned,2024Q3,"1,100,000,000"
Facebook,Fake Accounts,Content Actioned,2024Q4,"1,400,000,000"
Facebook,Fake Accounts,Content Actioned,2025Q1,"1,000,000,000"
Facebook,Fake Accounts,Content Actioned,2025Q2,"686,700,000"
Facebook,Fake Accounts,Content Actioned,2025Q3,"698,100,000"
Facebook,Fake Accounts,Content Actioned,2025Q4,"1,100,000,000"
Facebook,Hateful Conduct,Content Actioned,2017Q4,"1,600,000"
Facebook,Hateful Conduct,Content Actioned,2018Q1,"2,500,000"
Facebook,Hateful Conduct,Content Actioned,2018Q2,"2,500,000"
Facebook,Hateful Conduct,Content Actioned,2018Q3,"2,900,000"
Facebook,Hateful Conduct,Content Actioned,2018Q4,"3,400,000"
Facebook,Hateful Conduct,Content Actioned,2019Q1,"4,000,000"
Facebook,Hateful Conduct,Content Actioned,2019Q2,"4,300,000"
Facebook,Hateful Conduct,Content Actioned,2019Q3,"6,900,000"
Facebook,Hateful Conduct,Content Actioned,2019Q4,"5,500,000"
Facebook,Hateful Conduct,Content Actioned,2020Q1,"9,500,000"
Facebook,Hateful Conduct,Content Actioned,2020Q2,"22,500,000"
Facebook,Hateful Conduct,Content Actioned,2020Q3,"22,100,000"
Facebook,Hateful Conduct,Content Actioned,2020Q4,"26,900,000"
