Table 3,ANZSOC Division,ANZSOC Subdivision,Year Month,Proceedings,Age Group,Age Group 5Yr Band,ANZSOC Group,ANZSOC_DIVISION_CD,ANZSOC_GROUP_CD,ANZSOC_SUBDIVISION_CD,Ethnic Group,Ethnicity,Method of Proceeding,Months Ago,Mop Division,Mop Group,Mop Subdivision,Number of Records,Person/Organisation,SEX,Ytd Month
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2019,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-82,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2017,1,70-74,70 - 74 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2019,1,70-74,70 - 74 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-82,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2019,1,75-79,75 - 79 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-82,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2022,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Formal Warning,-51,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2020,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Formal Warning,-75,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2024,2,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-23,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-22,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2024,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-18,Non-Court Action,Community Justice Panel,"Non-Court Action, N.E.C.",1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-17,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2024,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-28,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2023,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,"Non-Court Action, N.E.C.",-37,Non-Court Action,Alternative Action Plan,"Non-Court Action, N.E.C.",1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Asian,Asian,"Non-Court Action, N.F.D.",-32,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2025,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.F.D.",-12,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2024,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.F.D.",-21,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2024,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,"Non-Court Action, N.F.D.",-18,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2025,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,"Non-Court Action, N.F.D.",-16,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2023,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,"Non-Court Action, N.F.D.",-35,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2024,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,"Non-Court Action, N.F.D.",-28,Non-Court Action,"Youth Aid, N.F.D.","Non-Court Action, N.F.D.",1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2026,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-5,Court Action,Prosecution,Court Action N.E.C.,1,Person,Female,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2015,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,Asian,Asian,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2019,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,Pacific Island,Pacific Island,Court Action,-80,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2025,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Pacific Island,Pacific Island,Court Action,-16,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2024,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Pacific Island,Pacific Island,Court Action,-28,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2022,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,Pacific Island,Pacific Island,Court Action,-51,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2023,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,Pacific Island,Pacific Island,Court Action,-38,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2023,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Pacific Island,Pacific Island,Court Action,-38,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2023,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,Pacific Island,Pacific Island,Court Action,-37,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2020,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-70,Court Action,Prosecution,Court Action N.E.C.,1,Person,Not Stated,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2020,1,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-66,Court Action,Prosecution,Court Action N.E.C.,1,Person,Not Stated,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2023,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-30,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2024,1,60-64,60 - 64 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-18,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2023,1,65-69,65 - 69 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-30,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-17,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2024,2,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-29,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-17,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-17,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-17,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2024,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-29,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2024,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-29,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-17,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-17,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,60-64,60 - 64 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-17,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2025,2,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-16,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2025,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-16,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2024,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-28,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2025,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-16,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2025,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-16,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2024,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-28,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2024,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-28,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2025,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-16,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-15,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2024,2,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-27,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-15,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-15,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-15,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2024,1,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-27,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-15,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2024,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-27,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,2,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-15,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2025,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-14,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2025,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-14,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2025,2,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-14,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2025,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-14,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2024,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-26,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2025,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-14,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2024,1,70-74,70 - 74 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-26,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2025,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-13,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2023,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-37,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2025,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-13,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2023,2,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-37,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2025,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-13,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2023,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-37,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2023,1,50-54,50 - 54 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-37,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2025,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-13,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2025,1,55-59,55 - 59 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-13,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,Indian,Indian,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2023,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Indian,Indian,Court Action,-31,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2024,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Indian,Indian,Court Action,-29,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2024,1,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,Indian,Indian,Court Action,-29,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2023,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-36,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2023,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-36,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2025,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-12,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2024,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-24,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2024,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-23,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jul2024,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-23,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,1
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,2,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2023,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-34,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2023,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-34,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2023,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-34,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2024,2,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-22,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2023,1,60-64,60 - 64 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-33,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-32,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2024,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-20,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2023,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-32,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2023,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-31,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2023,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-31,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2024,1,50-54,50 - 54 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-19,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2024,1,35-39,35 - 39 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-18,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-17,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-17,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2024,1,45-49,45 - 49 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-29,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2025,1,45-49,45 - 49 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-17,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2024,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-28,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2025,1,60-64,60 - 64 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-16,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-15,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2025,1,40-44,40 - 44 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-15,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2024,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-26,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2025,1,40-44,40 - 44 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,-14,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2025,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Maori,Maori,Court Action,-13,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
