country,entity,data_year,age,age_group,group_rank,sex,ethnicity,activity,count
Germany,Suspect,2023,58,Adult,3,Female,,Consumer,20.8
Germany,Suspect,2023,58,Adult,3,Female,,Producer,19.2
Germany,Suspect,2023,58,Adult,3,Male,,Consumer,152.1
Germany,Suspect,2023,58,Adult,3,Male,,Producer,176.7
Germany,Suspect,2023,59,Adult,3,Female,,Consumer,20.8
Germany,Suspect,2023,59,Adult,3,Female,,Producer,19.2
Germany,Suspect,2023,59,Adult,3,Male,,Consumer,152.1
Germany,Suspect,2023,59,Adult,3,Male,,Producer,176.7
Germany,Suspect,2023,60,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,60,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,60,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,60,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,61,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,61,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,61,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,61,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,62,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,62,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,62,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,62,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,63,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,63,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,63,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,63,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,64,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,64,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,64,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,64,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,65,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,65,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,65,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,65,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,66,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,66,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,66,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,66,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,67,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,67,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,67,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,67,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,68,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,68,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,68,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,68,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,69,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,69,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,69,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,69,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,70,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,70,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,70,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,70,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,71,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,71,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,71,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,71,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,72,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,72,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,72,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,72,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,73,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,73,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,73,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,73,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,74,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,74,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,74,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,74,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,75,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,75,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,75,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,75,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,76,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,76,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,76,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,76,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,77,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,77,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,77,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,77,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,78,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,78,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,78,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,78,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,79,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,79,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,79,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,79,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,80,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,80,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,80,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,80,Adult,3,Male,,Producer,28.2
Germany,Suspect,2023,81,Adult,3,Female,,Consumer,2.375
Germany,Suspect,2023,81,Adult,3,Female,,Producer,2.475
Germany,Suspect,2023,81,Adult,3,Male,,Consumer,27.625
Germany,Suspect,2023,81,Adult,3,Male,,Producer,28.2
