Region (NUTS2);Criminal typology;Age group;Sex;period;Total
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2016;16
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2015;15
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2014;24
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2013;32
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2012;17
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2011;20
TOTAL;3.4.-Pornography of minors;TOTAL;Female;2010;6
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2024;616
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2023;644
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2022;459
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2021;467
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2020;450
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2019;597
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2018;649
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2017;441
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2016;422
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2015;455
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2014;437
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2013;376
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2012;493
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2011;444
TOTAL;3.4.-Pornography of minors;TOTAL;Total;2010;483
