rank,c2020,a2020,c2021,a2021,c2022,a2022,c2023,a2023,c2024,a2024
90,0.0012588009387668017,0.002144613449880894,0.0014435780469629759,0.0022011523194893703,0.0027676921869761537,0.005015417088164346,0.0024750819452806208,0.004079668016199248,0.0018760251503553854,0.003310051885223983
91,0.001282780079883914,0.002174688334191242,0.0014441960187496772,0.0022146741932727704,0.002829983267420698,0.0050269097066454,0.002481411987700781,0.004095508585937832,0.0018837888230091354,0.0033806136122996504
92,0.001284247504139632,0.002181035264274231,0.0014472884582705694,0.002219887869943632,0.002848756906077348,0.005180769228424991,0.0024969394964055934,0.004142055711092683,0.0019425616371006576,0.0034270489985251226
93,0.0012973869708068411,0.002182186234026641,0.0014571160040935274,0.0022444438634816734,0.002881042521120342,0.005218528146823833,0.0025175068001620465,0.004238647579320591,0.0020267343276192834,0.0034372239136736095
94,0.0013059126705058316,0.0022020657819200825,0.001486497062778772,0.0022470772378031367,0.0029063783095079542,0.005227400719733184,0.002525308464213721,0.004258530293783678,0.0020511141497987404,0.0034687128133286675
95,0.0013257378658787652,0.002238730743739026,0.0014961007696260315,0.0022580634166459324,0.0029325718037703165,0.005333252064730442,0.002552615829874361,0.004292485264743009,0.0020543498034637513,0.0034721434575804657
96,0.001329168232318417,0.002284080302084902,0.001521559450843164,0.002269039055347258,0.002946341486081882,0.0053359269523566375,0.002581223530866487,0.00432879059908356,0.0020909078215849207,0.0034911671669571394
97,0.0013464089063944375,0.0023174268435431646,0.0015316948782174802,0.002287704625444031,0.0029928126936414824,0.005359211608523954,0.0026010526453416494,0.0043429557616014546,0.0020927507115352417,0.0035000469223048234
98,0.0013500860135444114,0.0023334299304023746,0.0016134446501857086,0.0023515708292113674,0.002995954184540207,0.00545618793718867,0.0026016031500492197,0.0044206127614659545,0.0021260525124258806,0.0035067224190490826
99,0.001363638887920327,0.00233955134089714,0.0016144980489314821,0.0023534630555344057,0.00306744710031348,0.005476616279114475,0.0026083746100350465,0.004495312239798368,0.0021321961620469083,0.0035257788189339144
100,0.0013681641009488563,0.0023406206677440583,0.0016264309374704458,0.0023710447031230343,0.003108953086247249,0.005507153132033315,0.0026473024624878595,0.004518402855942281,0.0021506019442637738,0.0035444302822544653
101,0.0013717561699747901,0.0023409794279468754,0.001702240541317168,0.002442238940196798,0.00311279481126285,0.005562693026311115,0.0026532317320096355,0.0045217803418985845,0.0021629078349084735,0.0035594671118625056
102,0.001396658696272593,0.0024348975266789436,0.001704837879567679,0.002452340774790682,0.00317408511373827,0.005599195084828368,0.0026900778579768947,0.00456565605237976,0.00217577700155947,0.0035872009015326394
103,0.001405892395568314,0.002437261677497943,0.0017107542287706093,0.0024763380942418997,0.0031819409908213853,0.005613956993648081,0.0026901214063486866,0.004572655364625545,0.0021770682148040637,0.003619003639092929
104,0.001426126640045636,0.00246215444781486,0.0017158970952727024,0.002497136886648062,0.0031842414786828347,0.005617679011903077,0.0027009943972556984,0.004615414965629562,0.0021785338653473106,0.003640565744259461
105,0.0014574129412077556,0.002525973112727638,0.001782159446393023,0.0025010943230286743,0.0031906407870247273,0.00561929231621565,0.0027196639050780127,0.004635962238104386,0.0022164576701895885,0.0036727046611678754
106,0.0014795460580544393,0.0025301480031061116,0.0017917293771948686,0.0025100484744701675,0.0032482920457304033,0.00567049234321271,0.0027213098337672743,0.004646093030945899,0.0022168654668182387,0.003675728252474303
107,0.0015458846676347964,0.0025722021362668537,0.0018140589569160999,0.002510083727314117,0.0032936597050677446,0.005735124274210135,0.0027708872317038706,0.004699048260855081,0.0022243856697425307,0.00368103778750268
108,0.0015891288917053974,0.0026180047639298145,0.0018561819418726714,0.00251578323697861,0.003293810741206634,0.005757666818543145,0.002785822936818213,0.0047411848120251215,0.002239662603426289,0.0036858042520200433
109,0.0016200976266621781,0.0026349547935510106,0.0018606327211105858,0.0025443032587436137,0.0034167952642363835,0.0058171824152538545,0.002796948004629431,0.004757216411863813,0.0022410699917151935,0.0036984203058746043
110,0.0016283277332644094,0.002768818392023447,0.0018775162589036852,0.002548553790710603,0.003428968271192326,0.005874187143770151,0.0028068115951450827,0.004788371359100848,0.0022780024901137325,0.0037271084163724073
111,0.001662041468208219,0.0028551107603307603,0.0018850567561931818,0.002584090044506666,0.0034320140668142292,0.005992690765715514,0.0028159098908834917,0.004795277544909966,0.002281415658411737,0.003772563153811643
112,0.0016925090056635899,0.002911283641151928,0.0018920661769150505,0.002610578820993263,0.003506677066620382,0.006026174754829701,0.00283235600876545,0.004806747729732751,0.002290555904574996,0.0037773741248595585
113,0.0016965584100824044,0.0029191478048046587,0.0019047052171066337,0.002690771351219209,0.003780264740224201,0.006058730157576115,0.0028543653310772682,0.004837460739805906,0.0023080106927641803,0.003790620630914463
114,0.0017006784657555489,0.0029195502177106016,0.0019223910033150098,0.0027926898450974656,0.0037806979750107713,0.006108194529142676,0.002887258488737714,0.004839395201844862,0.002314512974312166,0.003862548100854974
115,0.0017018631702011159,0.0029463508596840795,0.0019300052944507037,0.003023341614454974,0.003801913064535658,0.006153788956803568,0.0028937818695231095,0.005060703413483098,0.0023397408871687012,0.0038630974197730074
116,0.0017082875761443603,0.00303922484367747,0.0019521522032634674,0.0030481713067104324,0.003805925471275702,0.006229825153222129,0.0028948549030719463,0.00512432464501765,0.002339849688918601,0.003902009486110228
117,0.0017238839760620162,0.00307347313447534,0.0019750261717948994,0.0030529735015149885,0.003827479116395433,0.006284457468683243,0.0029215241200702853,0.005150141374063083,0.002356160218894885,0.00395862355291527
118,0.0017305114950146542,0.0031057687202993927,0.0019752150067483603,0.003105635239934085,0.003833519055896778,0.006311519740214726,0.0029286309075357017,0.005161940457757766,0.002390093823895853,0.003973288733380919
119,0.0017340557486860719,0.0031296158811577606,0.0019911187337508167,0.0031232097475832354,0.0038399643090454264,0.006528174050215612,0.002961895829412192,0.005201460330913319,0.002394839165782962,0.004029070417965746
120,0.0017490230445199966,0.003172613829668429,0.0020169922296076545,0.00314258511874462,0.0038445846279383613,0.006542351805372885,0.0030089005801592736,0.0053905310139537015,0.00240025054886572,0.00403858968212195
121,0.0017617819165670421,0.003228573715896775,0.00202940562560941,0.0031617477555167775,0.003868872426231151,0.006550412936504254,0.00313729813935209,0.005420400912772216,0.002407506221399631,0.0040481828528003486
122,0.001821281994942669,0.003229096492681689,0.0020491834052937864,0.0031807008526370875,0.003934776549289231,0.0065666349279311816,0.003147230574141169,0.005436950270511548,0.002447718631178707,0.004067643058382089
123,0.001902607438548938,0.0033423597302776466,0.0020604264710854816,0.0032845970884912744,0.003981501039285728,0.006696276605895734,0.0031729174163762914,0.005439751245439821,0.002461272852704783,0.004106910454997831
124,0.0019197395656730047,0.0033496128444753834,0.002074688796680498,0.00329648102501735,0.004023188504205675,0.006746927510623844,0.0031769567304080885,0.005500858052961291,0.002461719138172456,0.004130482227596922
125,0.0019291341459040775,0.0033543759730832803,0.0020749480952777363,0.0032991543494883826,0.00406039332584719,0.006762548730275851,0.0031847133757961785,0.005509196685667274,0.002468187042191113,0.004140908039237327
126,0.0019302162088826946,0.0033573875086363113,0.0020858524779736173,0.003441348104405479,0.004096544595256709,0.006763161612048757,0.0031984501224549475,0.005509351460121149,0.0024995434183755884,0.004230944706488789
127,0.0019419966824327792,0.0033679351930464806,0.002089394340121661,0.0036877331116380325,0.004129289477431297,0.006813834491776862,0.0032141490104248757,0.005640627253280022,0.002530094811974007,0.004278928196455063
128,0.0019431652743100711,0.003396603687909925,0.0021159257972822583,0.0036918795471242265,0.004162793109806694,0.006950950298192977,0.003227960819234194,0.005665767179431048,0.002551802338134616,0.004286636853031823
